protein_group	AZ905	AZ907	AZ909	AZ906	AZ908	AZ910	AZ941	AZ942
sp|Q6IS14|IF5AL_HUMAN	31	54	60	35	52	53	9	14
sp|O94973|AP2A2_HUMAN	48	44	51	48	37	55	36	45
sp|Q13813|SPTN1_HUMAN	95	39	32	97	37	29	5	10
sp|P36871|PGM1_HUMAN	51	52	47	46	46	47	39	46
sp|Q3LXA3|TKFC_HUMAN	67	53	39	61	40	39	40	44
sp|P35232|PHB1_HUMAN	60	54	45	50	40	41	38	45
sp|P35241|RADI_HUMAN	67	38	55	50	28	46	41	50
sp|Q8NHW5|RLA0L_HUMAN	45	33	45	51	47	60	40	52
sp|Q01082|SPTB2_HUMAN	85	47	30	69	31	26	3	6
sp|Q8TC12|RDH11_HUMAN	39	36	42	38	34	41	54	59
sp|HBA_HUMAN|	27	89	28	27	84	30	25	26
sp|P52895|AK1C2_HUMAN	34	82	22	38	69	26	36	39
sp|O95210|STBD1_HUMAN	35	47	58	31	37	48	51	50
sp|P07355|ANXA2_HUMAN	53	24	49	52	14	44	50	46
sp|P15880|RS2_HUMAN	60	28	48	67	30	42	52	93
sp|P05141|ADT2_HUMAN	53	43	31	42	42	35	65	89
sp|P69905|HBA_HUMAN	26	88	28	25	82	30	25	26
sp|P06733|ENOA_HUMAN	56	52	42	52	46	37	41	38
sp|Q04828|AK1C1_HUMAN	44	74	24	49	62	30	45	48
sp|Q9UBS4|DJB11_HUMAN	54	47	46	46	50	45	30	28
sp|P22897|MRC1_HUMAN	57	70	35	49	57	29	22	26
sp|P08263|GSTA1_HUMAN	52	51	43	58	44	33	47	41
sp|GSTA1_HUMAN|	52	51	43	58	44	33	47	41
sp|P19652|A1AG2_HUMAN	56	55	40	46	53	33	41	40
sp|O75947|ATP5H_HUMAN	51	46	38	45	47	42	56	51
sp|O75310|UDB11_HUMAN	46	57	37	49	51	33	55	44
sp|P53992|SC24C_HUMAN	43	63	51	37	47	38	14	14
sp|Q8IY17|PLPL6_HUMAN	49	48	42	48	32	40	63	65
sp|Q9BPW8|NIPS1_HUMAN	28	66	30	32	59	39	24	22
sp|P09210|GSTA2_HUMAN	51	50	42	58	44	32	44	41
sp|P05023|AT1A1_HUMAN	66	41	48	53	31	46	38	49
sp|P02790|HEMO_HUMAN	48	44	43	43	43	48	34	29
sp|P61313|RL15_HUMAN	45	36	47	49	34	44	56	61
sp|P61106|RAB14_HUMAN	54	43	41	50	34	38	59	52
sp|P0DJI9|SAA2_HUMAN	48	31	46	37	35	54	48	46
sp|P01031|CO5_HUMAN	53	44	43	46	30	46	31	22
sp|P34896|GLYC_HUMAN	47	43	47	35	41	46	33	35
sp|P32969|RL9_HUMAN	51	38	43	44	31	38	69	85
sp|P50454|SERPH_HUMAN	41	34	45	48	35	49	49	34
sp|P00966|ASSY_HUMAN	51	35	43	47	39	43	39	48
sp|Q9Y394|DHRS7_HUMAN	44	42	46	44	39	56	24	19
sp|P01019|ANGT_HUMAN	52	43	39	52	40	40	34	37
sp|P55145|MANF_HUMAN	45	43	39	43	44	39	48	50
sp|CO5_HUMAN|	52	44	42	46	29	44	31	22
sp|P02792|FRIL_HUMAN	60	31	35	70	23	39	30	34
sp|Q6UX53|TMT1B_HUMAN	42	40	34	41	39	35	54	59
sp|Q93088|BHMT1_HUMAN	48	48	40	41	45	40	27	17
sp|Q9UBV2|SE1L1_HUMAN	37	43	47	37	32	50	32	21
sp|Q9P0L0|VAPA_HUMAN	46	37	42	38	33	43	59	54
sp|O75874|IDHC_HUMAN	54	51	34	50	43	30	42	39
sp|Q14165|MLEC_HUMAN	42	47	39	45	34	42	40	33
sp|P21912|SDHB_HUMAN	59	39	30	51	43	33	51	65
sp|P12235|ADT1_HUMAN	42	33	32	39	36	37	51	82
sp|PPIA_HUMAN|	40	47	41	42	41	37	37	36
sp|Q9Y6N5|SQOR_HUMAN	46	36	37	35	34	36	47	51
sp|P08910|ABHD2_HUMAN	32	38	44	32	31	52	43	31
sp|Q00325|S25A3_HUMAN	52	46	36	37	31	34	59	63
sp|Q9UGP8|SEC63_HUMAN	45	41	36	35	30	42	61	59
sp|O75477|ERLN1_HUMAN	37	38	45	48	30	40	40	27
sp|Q15363|TMED2_HUMAN	31	41	46	42	30	47	21	21
sp|SODC_HUMAN|	46	38	30	46	38	34	42	46
sp|P00441|SODC_HUMAN	46	38	30	46	38	34	42	46
sp|P02649|APOE_HUMAN	49	40	37	41	48	33	34	30
sp|P30050|RL12_HUMAN	44	40	37	39	29	38	56	64
sp|Q9Y2B0|CNPY2_HUMAN	44	41	36	39	34	38	53	45
sp|P07307|ASGR2_HUMAN	42	38	42	36	34	43	35	28
